age_id,male_protain,male_vitA,male_fe,female_protain,female_vitA,female_fe
1,10.2,375,9.3,9.4,375,9.3
2,11.6,400,5.8,10.8,400,5.8
3,11.8,400,5.8,11.1,400,5.8
4,11.9,400,5.8,11.4,400,5.8
5,13.1,400,5.8,12.7,400,5.8
6,17.1,450,6.3,16.2,450,6.3
7,17.1,450,6.3,16.2,450,6.3
8,17.1,450,6.3,16.2,450,6.3
9,25.9,500,8.9,26.2,500,8.9
10,25.9,500,8.9,26.2,500,8.9
11,25.9,500,8.9,26.2,500,8.9
12,25.9,600,8.9,26.2,600,8.9
13,40.5,600,14.6,41,600,32.7
14,40.5,600,14.6,41,600,32.7
15,40.5,600,14.6,41,600,32.7
16,40.5,600,14.6,41,600,32.7
17,57.9,600,18.8,47.4,600,31
18,46,600,18.8,42,600,31
19,46,600,18.8,42,600,31
20,46,600,13.7,42,600,29.4
21,46,600,13.7,42,600,29.4
22,46,600,13.7,42,600,29.4
